Subscriber ID,Date Created,Date Modified,Channel ID,Source,Order Count
309,02/04/2025,02/04/2025,1,Unknown,0
310,02/04/2025,02/04/2025,1,Unknown,0
311,02/04/2025,02/04/2025,1,Unknown,0
312,02/04/2025,02/04/2025,1,Unknown,0
313,02/04/2025,02/04/2025,1,Unknown,0
314,02/04/2025,02/04/2025,1692941,Unknown,0
315,02/04/2025,02/04/2025,1,Unknown,0
316,02/04/2025,02/04/2025,1,storefront,0
317,02/04/2025,02/04/2025,1692941,Unknown,0
318,02/04/2025,02/04/2025,1,Unknown,0
319,02/04/2025,02/04/2025,1692941,Unknown,0
320,02/04/2025,02/04/2025,1692941,Unknown,0
321,02/04/2025,02/04/2025,1692941,Unknown,0
322,02/04/2025,02/04/2025,1,Unknown,0
323,02/04/2025,02/04/2025,1,Unknown,0
324,02/04/2025,02/04/2025,1692941,Unknown,0
325,02/04/2025,02/04/2025,1,Unknown,0
326,02/04/2025,02/04/2025,1,Unknown,0
327,02/04/2025,02/04/2025,1,Unknown,0
328,02/04/2025,02/04/2025,1692941,Unknown,0
329,02/04/2025,02/04/2025,1,Unknown,0
330,02/04/2025,02/04/2025,1,Unknown,0
331,11/04/2025,02/09/2025,1,Unknown,0
332,02/04/2025,02/04/2025,1,Unknown,0
333,02/04/2025,02/04/2025,1,Unknown,0
334,02/04/2025,02/04/2025,1,Unknown,0
335,02/04/2025,02/04/2025,1,Unknown,0
336,02/04/2025,02/04/2025,1,Unknown,0
337,18/04/2025,02/09/2025,1,storefront,0
338,02/04/2025,02/04/2025,1692461,Unknown,0
339,02/04/2025,02/04/2025,1,Unknown,0
340,02/04/2025,02/04/2025,1,Unknown,0
341,02/04/2025,02/04/2025,1,Unknown,0
342,02/04/2025,02/04/2025,1,storefront,0
343,02/04/2025,02/04/2025,1,Unknown,0
344,02/04/2025,02/04/2025,1,Unknown,0
345,02/04/2025,02/04/2025,1,Unknown,0
346,02/04/2025,02/04/2025,1,Unknown,0
347,02/04/2025,02/04/2025,1,Unknown,0
348,02/04/2025,02/04/2025,1692461,Unknown,0
349,02/04/2025,02/04/2025,1,Unknown,0
350,03/04/2025,03/04/2025,1692461,Unknown,0
351,11/04/2025,02/09/2025,1692941,Unknown,0
352,03/04/2025,02/09/2025,1692941,Unknown,0
353,03/04/2025,03/04/2025,1692941,Unknown,0
354,03/04/2025,03/04/2025,1692941,Unknown,0
355,03/04/2025,03/04/2025,1692461,Unknown,0
356,03/04/2025,03/04/2025,1692941,Unknown,0
357,03/04/2025,03/04/2025,1692461,Unknown,0
358,03/04/2025,03/04/2025,1692461,Unknown,0
359,30/04/2025,02/09/2025,1,Unknown,0
360,03/04/2025,03/04/2025,1,Unknown,0
361,03/04/2025,03/04/2025,1,Unknown,0
362,03/04/2025,03/04/2025,1,Unknown,0
363,03/04/2025,21/04/2026,1,Unknown,0
364,03/04/2025,03/04/2025,1,Unknown,0
365,03/04/2025,03/04/2025,1,Unknown,0
366,03/04/2025,03/04/2025,1,Unknown,0
367,03/04/2025,03/04/2025,1,Unknown,0
368,03/04/2025,03/04/2025,1692941,storefront,0
369,03/04/2025,03/04/2025,1,Unknown,0
370,03/04/2025,03/04/2025,1,Unknown,0
371,03/04/2025,03/04/2025,1,Unknown,0
372,03/04/2025,03/04/2025,1,Unknown,0
373,03/04/2025,03/04/2025,1,Unknown,0
374,03/04/2025,03/04/2025,1,Unknown,0
375,03/04/2025,03/04/2025,1,Unknown,0
376,03/08/2025,02/09/2025,1692941,Unknown,0
377,03/04/2025,03/04/2025,1692941,storefront,0
378,03/04/2025,03/04/2025,1,storefront,0
379,03/04/2025,03/04/2025,1692941,Unknown,0
380,03/04/2025,03/04/2025,1,Unknown,0
381,03/04/2025,03/04/2025,1,Unknown,0
382,03/07/2025,02/09/2025,1,Unknown,0
383,03/04/2025,03/04/2025,1,Unknown,0
384,03/04/2025,03/04/2025,1,Unknown,0
385,03/04/2025,03/04/2025,1,Unknown,0
386,03/04/2025,02/09/2025,1692461,storefront,0
387,04/04/2025,02/09/2025,1692461,Unknown,0
388,03/04/2025,03/04/2025,1,Unknown,0
389,03/04/2025,03/04/2025,1,Unknown,0
390,08/04/2025,02/09/2025,1692461,Unknown,0
391,03/04/2025,03/04/2025,1692461,Unknown,0
392,06/04/2025,02/09/2025,1,Unknown,0
393,03/04/2025,03/04/2025,1692461,Unknown,0
394,03/04/2025,03/04/2025,1,Unknown,0
395,03/04/2025,03/04/2025,1692461,Unknown,0
396,03/04/2025,03/04/2025,1692461,Unknown,0
397,03/04/2025,03/04/2025,1,Unknown,0
398,03/04/2025,03/04/2025,1,Unknown,0
399,03/04/2025,03/04/2025,1,Unknown,0
400,03/04/2025,03/04/2025,1692461,Unknown,0
401,03/04/2025,03/04/2025,1692941,Unknown,0
402,03/04/2025,03/04/2025,1692941,Unknown,0
403,03/04/2025,03/04/2025,1,Unknown,0
404,03/04/2025,03/04/2025,1,Unknown,0
405,04/04/2025,04/04/2025,1692941,Unknown,0
406,04/04/2025,02/09/2025,1692941,Unknown,0
407,04/04/2025,04/04/2025,1692941,Unknown,0
408,07/04/2025,10/12/2025,1692941,Unknown,0
409,04/04/2025,04/04/2025,1692941,Unknown,0
410,04/04/2025,04/04/2025,1692461,Unknown,0
411,04/04/2025,04/04/2025,1692461,Unknown,0
412,04/04/2025,04/04/2025,1692941,Unknown,0
413,04/04/2025,04/04/2025,1692941,Unknown,0
414,04/04/2025,04/04/2025,1692461,Unknown,0
415,04/04/2025,04/04/2025,1692941,Unknown,0
416,04/04/2025,04/04/2025,1692941,Unknown,0
417,04/04/2025,04/04/2025,1692941,Unknown,0
418,04/04/2025,22/11/2025,1,Unknown,0
419,04/04/2025,04/04/2025,1,Unknown,0
420,04/04/2025,04/04/2025,1,Unknown,0
421,04/04/2025,04/04/2025,1692941,Unknown,0
422,04/04/2025,04/04/2025,1692461,Unknown,0
423,04/04/2025,04/04/2025,1,Unknown,0
424,04/04/2025,04/04/2025,1692461,Unknown,0
425,04/04/2025,04/04/2025,1,Unknown,0
426,04/04/2025,04/04/2025,1,Unknown,0
427,04/04/2025,04/04/2025,1692941,Unknown,0
428,04/04/2025,04/04/2025,1,Unknown,0
429,04/04/2025,04/04/2025,1,Unknown,0
430,04/04/2025,04/04/2025,1,Unknown,0
431,04/04/2025,04/04/2025,1,Unknown,0
432,04/04/2025,04/04/2025,1,Unknown,0
433,04/04/2025,04/04/2025,1,Unknown,0
434,04/04/2025,04/04/2025,1692941,Unknown,0
435,04/04/2025,04/04/2025,1,Unknown,0
436,04/04/2025,02/09/2025,1,Unknown,0
437,04/04/2025,04/04/2025,1,Unknown,0
438,04/04/2025,04/04/2025,1,Unknown,0
439,04/04/2025,04/04/2025,1692941,Unknown,0
440,04/04/2025,04/04/2025,1,Unknown,0
441,04/04/2025,04/04/2025,1,Unknown,0
442,04/04/2025,04/04/2025,1692941,Unknown,0
443,04/04/2025,04/04/2025,1,Unknown,0
444,06/04/2025,02/09/2025,1692461,Unknown,0
445,04/04/2025,04/04/2025,1,Unknown,0
446,04/04/2025,04/04/2025,1692941,storefront,0
447,04/04/2025,04/04/2025,1,Unknown,0
448,04/04/2025,04/04/2025,1,storefront,0
449,04/04/2025,04/04/2025,1,Unknown,0
450,04/04/2025,04/04/2025,1,storefront,0
451,04/04/2025,04/04/2025,1,Unknown,0
452,04/04/2025,04/04/2025,1,Unknown,0
453,20/05/2025,02/09/2025,1692941,Unknown,0
454,04/04/2025,04/04/2025,1,Unknown,0
455,04/04/2025,04/04/2025,1,Unknown,0
456,04/04/2025,04/04/2025,1692941,Unknown,0
457,05/04/2025,05/04/2025,1692941,storefront,0
458,08/04/2025,02/09/2025,1,Unknown,0
459,05/04/2025,05/04/2025,1692941,Unknown,0
460,05/04/2025,05/04/2025,1,Unknown,0
461,05/04/2025,05/04/2025,1692941,storefront,0
462,05/04/2025,05/04/2025,1692461,storefront,0
463,05/04/2025,05/04/2025,1692461,Unknown,0
464,05/04/2025,05/04/2025,1692461,Unknown,0
465,05/04/2025,05/04/2025,1,Unknown,0
466,05/04/2025,05/04/2025,1692461,Unknown,0
467,05/04/2025,05/04/2025,1692461,Unknown,0
468,11/04/2025,02/09/2025,1692941,Unknown,0
469,05/04/2025,05/04/2025,1,Unknown,0
470,05/04/2025,05/04/2025,1,Unknown,0
471,05/04/2025,05/04/2025,1,Unknown,0
472,05/04/2025,05/04/2025,1,Unknown,0
473,05/04/2025,05/04/2025,1,Unknown,0
474,05/04/2025,05/04/2025,1692941,Unknown,0
475,05/04/2025,05/04/2025,1,Unknown,0
476,05/04/2025,05/04/2025,1,Unknown,0
477,05/04/2025,05/04/2025,1,Unknown,0
478,05/04/2025,02/09/2025,1692941,Unknown,0
479,05/04/2025,05/04/2025,1,Unknown,0
480,05/04/2025,05/04/2025,1,Unknown,0
481,05/04/2025,05/04/2025,1692941,Unknown,0
482,05/04/2025,05/04/2025,1,Unknown,0
483,05/04/2025,05/04/2025,1,Unknown,0
484,05/04/2025,05/04/2025,1,Unknown,0
485,05/04/2025,05/04/2025,1,Unknown,0
486,05/04/2025,05/04/2025,1692461,Unknown,0
487,05/04/2025,05/04/2025,1,Unknown,0
488,05/04/2025,05/04/2025,1,Unknown,0
489,05/04/2025,12/11/2025,1692461,Unknown,0
490,05/04/2025,05/04/2025,1,Unknown,0
491,05/04/2025,05/04/2025,1,Unknown,0
